fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29115,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29117,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29119,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29121,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29123,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29125,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29127,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29129,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29131,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29133,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29135,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29137,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29139,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29141,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29143,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29145,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29147,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29149,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29151,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29153,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29155,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29157,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29159,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29161,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29163,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29165,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29167,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29169,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29171,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29173,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29175,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29177,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29179,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29181,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29183,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29185,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29186,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29187,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29189,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29195,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29197,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29199,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29201,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29203,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29205,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29207,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29209,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29211,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29213,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29215,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29217,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29219,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29221,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
29223,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
