fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37059,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37061,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37063,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37065,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37067,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37069,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37071,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37073,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37075,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37077,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37079,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37081,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37083,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37085,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37087,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37089,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37091,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37093,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37095,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37097,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37099,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37101,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37103,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37105,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37107,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37109,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37111,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37113,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37115,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37117,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37119,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37121,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37123,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37125,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37127,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37129,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37131,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37133,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37135,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37137,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37139,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37141,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37143,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37145,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37147,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37149,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37151,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37153,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37155,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
37157,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
